videoId,background_lightning_ratio
aircAruvnKk,0.1090436645430808
_QdPW8JrYzQ,0.4843922663160257
OWJCfOvochA,3.867515210157477
ZS_kXvOeQ5Y,0.2732666232508097
x7qPAY9JqE4,0.5359521021403499
9AThycGCakk,2.3816789413519994
-ruC5A9EzzE,2.7059428819956195
Lj1a8rdX6DU,2.3032861157915807
Zh3Yz3PiXZw,2.6807175399746233
bNpx7gpSqbY,1.0447280506502117
kUr_gdKQ8j4,2.1846108347587685
h0e2HAPTGF4,1.9340264533129246
0hVuCWfyHP4,2.540119760590741
QHydkEARVKE,5.877429547404548
nKW8Ndu7Mjw,0.5952457478417829
BR9h47Jtqyw,0.09220982453816787
w82a1FT5o88,2.3469440531495813
pvf0zSh3rDo,1.6313168461749679
MfF750YVDxM,1.1455710293042383
OoEpfb6yga8,0.6447806199813868
e8QY0NDWqzk,1.5338965114783971
EtJy69cEOtQ,3.9994303920430214
rmf04ylI2K0,0.3642615691874046
XZmGGAbHqa0,3.6165739820613547
QxuibIaQmsw,3.2599988305586196
uAWWhEA57bE,0.29628947338673195
4DgTLaFNQq0,4.896235853976577
YFl2mCHdv24,1.0182460500663886
dspdToaROn8,1.1202728459399982
FHVuRxJpiwI,1.0672363463161225
bcjSe0xCHbE,1.4555450856420056
9s-vSeWej1U,0.9104762292408906
1z0ULvg_pW8,6.527706519360562
BgQFJ_UNIgw,1.3212333146556123
2-Ol7ZB0MmU,0.09015748612133732
711VklH-4fA,1.106733373856012
d4EgbgTm0Bg,0.25344637037514295
yuD34tEpRFw,1.100174428191013
wCrtk-pyP0I,2.0065021872691933
AD3K8j12EIE,0.3225504982299675
kqSzLo9fenk,0.05111660641288493
aDW44NPhNw0,0.14292782426522538
qWcfiPi9gUU,1.2038198297249825
FTr3n7uBIuE,0.8409542069111591
TnUYcTuZJpM,1.51737499045278
trWrEWfhTVg,2.4849221628466047
IpGxLWOIZy4,0.3212317418411516
0JDoll8OEFE,2.728089127490493
liJbB_0eCTo,2.045345001359109
lfo8XHGFAIQ,2.390092411210404
G7oolm0jU8I,0.27941476515575053
63NTeLmDANo,1.6404754157627774
kJzSzGbfc0k,1.2736820888216687
XKu_SEDAykw,0.6412257706980161
5F28PzoeDn4,1.5629726126597063
SAsWFgpvYhA,1.8489182419372707
t6rHHnABoT8,1.5061510987001765
3FxdPlqTVXw,2.673188317246509
c8_BIamLESg,2.935655001962952
rojft7g2BSI,0.24335508770887518
E39GIysMevQ,2.7395517459421663
-Yh2QGJBd2U,2.3952779199165795
TRzBk_KuIaM,1.2361929728954562
ssdyoPpDEys,2.2937000413232704
I1hFKCFT8bQ,2.671236172425623
ZPw9dSV6y2c,1.961666889392462
78-1MlkxyqI,1.8016532636487137
_4ruHJFsb4g,2.6972244475189697
R0bVxbRCd-U,1.7060505099346683
j6B-HYsvkvo,1.3798126978133816
MTY1Kje0yLg,3.049727136382675
mV_Z3Zx0xIs,2.0752733750533654
P4Rzd21U-1c,1.8579641303198657
bjMqJ--aUJ8,1.503753835793186
ZZZ7k8cMA-4,2.235570387458824
NtxZeDYuEZI,1.092096618465483
Yl_FJAOcFgQ,1.5002850076590526
ghMZe9NRAgY,0.8975028388959012
R1vskiVDwl4,0.6602252508281948
M624T3PTggU,1.7392596557782358
AL1-Xd2HTWU,6.510377224309593
kLBDuWvcy7U,4.2022656306143755
esmzYhuFnds,2.019744011164121
zn1SJOPgewo,0.8344008402281158
Y30VF3cSIYQ,2.6134390571533666
D1R-jKKp3NA,3.209017429721986
mbDipVRt5aE,0.3174024193524264
TUSxq7KoTsM,1.0385346057535811
XIXvKKEQQJo,0.559173752383731
aDhTeLWJBxI,2.1597701569357635
4yzaG0Ia_fs,3.576069098728617
KzG-mJgj-E4,5.7545684436901
Q0jeohWnmAQ,3.375331180195095
a5ZwNfzusLQ,2.8407462624841244
i1AHCaokqhg,0.9825211751673829
9tnLXvr6cLM,2.658877608647497
wlk1DLm-BjU,4.614353887144741
q9tYsvRg1as,1.4006802187028593
gIR65Mz8mHQ,4.418076604108026
7UeRnuGo-pg,2.800611173756754
zORUUqJd81M,0.7395347764999479
q7prQTS_N3Y,0.855336431785562
1-JAx3nUwms,0.37185747408990616
8FHBh_OmdsM,0.9390443182504585
d0yGdNEWdn0,2.434911745337286
w7BMaG3zyVo,2.151207136543794
LIEuU8CZjGQ,1.7366196452125615
wcKyq-e-Soo,0.9273459115514199
tI8ijLpZaHk,2.233053035806529
HEdPX8pt_DQ,1.220489724501388
pkdgVYehiTE,0.2501245648972562
7bE2mI4ePeU,1.6186965518977763
aJdUVRAKmB8,5.060364661740394
G2_Q9FoD-oQ,2.0930692129902586
XF3P3KRn7EM,3.7092111750575394
rc57xiKQal8,3.921129406979405
kE7D7qFayVg,2.3038969361435404
X5846PYLWIY,2.2392901538698156
DxbMzZ5a2Zg,0.9320328820876135
pynDvIsLoU0,0.9882388949641683
