videoId,text_density
TgA2y-Bgi3c,0.5328213413065843
zNzzGgr2mhk,2.1670812774122807
qaIghx4QRN4,0.5615383572048611
F-nNTGK0wFw,None
opqIa5Jiwuw,0.739717807751662
kF4ju6j6aLE,0.6695067179951691
0g9SlVdv1PY,15.859538258154943
c0bsKc4tiuY,1.8939600815007716
6N3hffFYe_U,3.6264769000771606
8HbvY1ZDhwg,3.8218080015313936
f7MzFfuNOtY,6.348439911265432
mf5otGNbkuc,2.601036835383478
FX1HaV_qjOM,8.035493662005328
5ncOyYzOP3w,1.264822114773882
IHZwWFHWa-w,7.7520028752195875
LmpAntNjPj0,2.2299786516480595
6H_9l9N3IXU,4.076891809964726
r2Cd9gChRnc,8.410141005222682
Ilg3gGewQ5U,8.76147314745509
NaL_Cb42WyY,6.385781297049082
Z5bTMIdn8O4,7.696692949459877
hI9CaQD7P6I,4.972945601851852
BxpjA9t4dJE,5.300828009898711
mQ-8gnnieRA,0.9343291859567902
eTOKcxIujgE,0.2178417566872428
dUFxaQc7B8k,4.9492551829886455
STpKoVY2ri8,1.7739794839255498
X32dce7_D48,2.660212733066971
IOZO13rdhwU,16.909776127915777
w1f6o1HQBvg,0.08923611111111111
CvKXdhB_y9I,6.160851761725866
6S66jorlkeY,3.1475288336582197
VcOCCrKlXRM,0.0
8N1cKs9JRq0,2.7851337813902917
wutztfYqk0I,4.079444345801767
5njUvlLWoRI,8.14380787037037
wEbiwj0CY4U,8.101758211912065
CTXcB8w5JQc,None
MFZsxoen5Y0,None
b617FReb9YI,None
K-HFRtLaxqY,None
5q7BSLylhTo,None
