videoId,brightness
,None
aircAruvnKk,15.413636969584235
_QdPW8JrYzQ,138.2476735927201
OWJCfOvochA,119.70840195238307
ZS_kXvOeQ5Y,233.8936254861784
x7qPAY9JqE4,47.13933087170241
9AThycGCakk,120.34392292791924
-ruC5A9EzzE,157.91924487761275
Lj1a8rdX6DU,95.71962406790756
Zh3Yz3PiXZw,95.16131320036301
bNpx7gpSqbY,110.69332954228824
kUr_gdKQ8j4,137.01740927150107
h0e2HAPTGF4,115.80953144457627
0hVuCWfyHP4,113.5872110071979
QHydkEARVKE,128.47914132548786
nKW8Ndu7Mjw,216.62569230821398
BR9h47Jtqyw,246.64437478298612
w82a1FT5o88,99.6127937057783
pvf0zSh3rDo,173.9991898392707
MfF750YVDxM,207.1103896556713
OoEpfb6yga8,217.2997490955887
e8QY0NDWqzk,70.15535267902074
EtJy69cEOtQ,117.60618832542782
rmf04ylI2K0,226.53993560851208
XZmGGAbHqa0,128.45789623119214
QxuibIaQmsw,109.1844264962975
uAWWhEA57bE,238.3616846412185
4DgTLaFNQq0,121.24403224050853
YFl2mCHdv24,180.6251501540196
dspdToaROn8,207.34606031539352
FHVuRxJpiwI,186.16511558786155
bcjSe0xCHbE,171.9128343745054
9s-vSeWej1U,203.7302942858096
1z0ULvg_pW8,125.57233796296296
BgQFJ_UNIgw,204.63071259346202
2-Ol7ZB0MmU,240.96906007124352
711VklH-4fA,64.6589597435014
d4EgbgTm0Bg,23.49790243894147
yuD34tEpRFw,150.57065292683782
wCrtk-pyP0I,133.52159699435765
AD3K8j12EIE,229.93516089481378
kqSzLo9fenk,249.62822660546215
aDW44NPhNw0,242.89441334518222
qWcfiPi9gUU,178.46206238501503
FTr3n7uBIuE,
TnUYcTuZJpM,100.02035987478956
trWrEWfhTVg,113.4569881700528
IpGxLWOIZy4,228.82864280040337
0JDoll8OEFE,115.23785740858844
liJbB_0eCTo,117.51109827112269
lfo8XHGFAIQ,131.93633486793155
G7oolm0jU8I,
63NTeLmDANo,
kJzSzGbfc0k,139.93345992683533
XKu_SEDAykw,208.95928535599288
5F28PzoeDn4,173.90439689867424
SAsWFgpvYhA,146.376010033701
t6rHHnABoT8,155.86525527234463
3FxdPlqTVXw,
c8_BIamLESg,105.17305555555555
rojft7g2BSI,24.17767410947286
E39GIysMevQ,145.5896649437079
-Yh2QGJBd2U,149.41768373480903
TRzBk_KuIaM,68.69921571608873
ssdyoPpDEys,
I1hFKCFT8bQ,
ZPw9dSV6y2c,162.32385597511575
78-1MlkxyqI,89.29895497948232
_4ruHJFsb4g,153.49188258406434
R0bVxbRCd-U,87.95908061463156
j6B-HYsvkvo,85.60494511089539
MTY1Kje0yLg,143.0761283275463
mV_Z3Zx0xIs,104.82723934597439
P4Rzd21U-1c,113.52098698326127
bjMqJ--aUJ8,87.2225987255938
ZZZ7k8cMA-4,95.61024715262812
NtxZeDYuEZI,177.92636400462962
Yl_FJAOcFgQ,163.10288968146136
ghMZe9NRAgY,65.77025979858914
R1vskiVDwl4,47.92220794701783
M624T3PTggU,165.12288101542177
AL1-Xd2HTWU,126.98523211141016
kLBDuWvcy7U,106.6171683264652
esmzYhuFnds,110.4021213607342
zn1SJOPgewo,109.26584802827381
Y30VF3cSIYQ,152.38904280340608
D1R-jKKp3NA,137.50137171855923
mbDipVRt5aE,226.6568792513736
TUSxq7KoTsM,189.11164559230562
XIXvKKEQQJo,47.372812019938976
aDhTeLWJBxI,
4yzaG0Ia_fs,135.57211863632605
KzG-mJgj-E4,156.92621727890273
Q0jeohWnmAQ,141.62968453739467
a5ZwNfzusLQ,114.26980865317047
i1AHCaokqhg,52.18294997300559
9tnLXvr6cLM,105.49217561652861
wlk1DLm-BjU,127.63325474835824
q9tYsvRg1as,175.2305187911919
gIR65Mz8mHQ,130.33628076242334
7UeRnuGo-pg,132.76750540407136
zORUUqJd81M,51.82803887975146
q7prQTS_N3Y,57.629688490125865
1-JAx3nUwms,35.044699602284446
8FHBh_OmdsM,105.49664685126686
d0yGdNEWdn0,150.6911110817849
w7BMaG3zyVo,112.14375229141136
LIEuU8CZjGQ,88.42847754892676
wcKyq-e-Soo,190.08963211039625
tI8ijLpZaHk,177.9373989047799
HEdPX8pt_DQ,184.0488846672906
pkdgVYehiTE,238.7741294160279
7bE2mI4ePeU,83.45755288379439
aJdUVRAKmB8,127.37675836489899
G2_Q9FoD-oQ,138.85362420782343
XF3P3KRn7EM,118.74342680692507
rc57xiKQal8,119.87581186804752
kE7D7qFayVg,115.38439306159898
X5846PYLWIY,101.07997641418429
DxbMzZ5a2Zg,80.65039579690034
pynDvIsLoU0,70.81022933525597
MHTa3aDczCk,145.03072184343435
wKpZXVz-Jvs,127.22051347481641
QoqohmccTSc,97.79070482526507
qiN67V5q3C4,96.09225598267835
w-eX4sZi-Zs,96.99175880922233
Nn-_8IniOVk,121.2722244678442
QaoVWtLX038,116.76522448653695
cC0KxNeLp1E,69.26093558547844
MmfikLimeQ8,66.62528713722705
MdZAMSyn_As,76.07902396600365
677ZtSMr4-4,209.15907474034478
bKjH8WhSu_E,206.24980704612514
KMX1mFEmM3E,245.57915683103718
LooL6_chvN4,132.40909551048165
0NAvTEQ9eXQ,130.71728968091867
Qmla9NLFBvU,127.6934183666088
fvPddKyHxpQ,211.01794625475665
SWZ_4YBFBhs,231.98035304916098
uD3p_rZPBUQ,66.25833685403738
r6UcW9xLxwo,123.39674222682011
CMGpPI0QocY,128.61387511379996
GhlLtd19szw,106.67091089113794
CIx0a1vcYPc,60.0996820545589
pasyRUj7UwM,
iphcyNWFD10,92.6181542376894
DRxAVA6gYMM,167.92336294472122
oAHbLRjF0vo,190.8155409495773
4fuHzC9aTik,127.36586028968664
zUrDUxh5xS0,134.81383908698362
ENK245mtPTo,90.97377369791667
9KABcmczPdg,64.87877870008681
Iy7NzjCmUf0,64.6872707833857
sj8Sg8qnjOg,170.3858892885265
-eQaF6OmWKw,214.8357838710125
A-QgGXbDyR0,91.61066828941232
9hUIxyE2Ns8,
R2NzN1ew9j0,126.93884932170543
T0Z73Zbtlyg,112.71415008921682
iM_KMYulI_s,
RF-Mqs2qC-M,152.43902156062313
TclUk6-63QQ,106.74487685462792
PuSkexkHRb0,114.24992310315552
79_IsTV8X-c,183.7745124342668
1zdZG6KFM0g,88.11220507078637
PX5-XyBNi00,60.915270830041685
FXATwX5bVp8,222.99809079996746
Xjq_ow5DrWY,
dFT2IKmwyfg,134.62139721863252
kCC8UIPrASA,91.55764998203475
zttC2x9nMEw,139.19897374425207
RCXGpEmFbOw,48.765402491009425
bBrUrgNf5y8,
PRSoRkM8GcM,136.48675054993294
pCON4zfMzjU,107.61857400459155
IesIsKMjB4Y,88.0685393448514
iR4CFiuR3tQ,112.49063685356165
x0MjZOR89Fk,
VFWbuKr5-I8,148.10420631139905
eyqwLiowZiU,133.3793813881553
r15_6z9xryo,128.95451038707387
3SAxXUIre28,116.74857019097222
bf7BXwVeyWw,41.17095802934823
q7v5NtV8v6I,48.24670157465953
CeuIop_j2bI,194.22766025735874
p-MNSLsjjdo,
TgA2y-Bgi3c,50.2093175817419
zNzzGgr2mhk,109.00953475648757
qaIghx4QRN4,56.45443484157986
F-nNTGK0wFw,
opqIa5Jiwuw,148.3883852311847
kF4ju6j6aLE,48.32600916176027
0g9SlVdv1PY,127.47370165965852
c0bsKc4tiuY,94.35027552475164
6N3hffFYe_U,89.89873803840112
8HbvY1ZDhwg,122.51690445141016
f7MzFfuNOtY,136.86672766565394
mf5otGNbkuc,90.44677297017361
FX1HaV_qjOM,194.31988779192827
5ncOyYzOP3w,116.01804572376778
IHZwWFHWa-w,23.808593968729415
LmpAntNjPj0,67.9435015398641
6H_9l9N3IXU,236.5797612674989
r2Cd9gChRnc,174.61470120236456
Ilg3gGewQ5U,18.006668875790087
NaL_Cb42WyY,13.813368376077424
Z5bTMIdn8O4,188.73466218171296
hI9CaQD7P6I,150.08987898461612
BxpjA9t4dJE,99.34405595960904
mQ-8gnnieRA,97.5917166803305
eTOKcxIujgE,131.6073766235854
dUFxaQc7B8k,78.5767029333308
STpKoVY2ri8,146.57583715035426
