videoId,brightness,subject_size,text_density,entropy,background_lightning_ratio,background_color_simplicity
kE7D7qFayVg,None,None,None,None,None,None
X5846PYLWIY,None,None,None,None,None,None
DxbMzZ5a2Zg,None,None,None,None,None,None
pynDvIsLoU0,None,None,None,None,None,None
MHTa3aDczCk,None,None,None,None,None,None
wKpZXVz-Jvs,None,None,None,None,None,None
QoqohmccTSc,None,None,None,None,None,None
qiN67V5q3C4,None,None,None,None,None,None
w-eX4sZi-Zs,None,None,None,None,None,None
Nn-_8IniOVk,None,None,None,None,None,None
QaoVWtLX038,None,None,None,None,None,None
cC0KxNeLp1E,None,None,None,None,None,None
MmfikLimeQ8,None,None,None,None,None,None
MdZAMSyn_As,None,None,None,None,None,None
677ZtSMr4-4,None,None,None,None,None,None
bKjH8WhSu_E,None,None,None,None,None,None
KMX1mFEmM3E,None,None,None,None,None,None
LooL6_chvN4,None,None,None,None,None,None
0NAvTEQ9eXQ,None,None,None,None,None,None
Qmla9NLFBvU,None,None,None,None,None,None
fvPddKyHxpQ,None,None,None,None,None,None
SWZ_4YBFBhs,None,None,None,None,None,None
uD3p_rZPBUQ,None,None,None,None,None,None
r6UcW9xLxwo,None,None,None,None,None,None
CMGpPI0QocY,None,None,None,None,None,None
GhlLtd19szw,None,None,None,None,None,None
CIx0a1vcYPc,None,None,None,None,None,None
pasyRUj7UwM,None,None,None,None,None,None
iphcyNWFD10,None,None,None,None,None,None
DRxAVA6gYMM,None,None,None,None,None,None
oAHbLRjF0vo,None,None,None,None,None,None
4fuHzC9aTik,None,None,None,None,None,None
zUrDUxh5xS0,None,None,None,None,None,None
ENK245mtPTo,None,None,None,None,None,None
9KABcmczPdg,None,None,None,None,None,None
Iy7NzjCmUf0,None,None,None,None,None,None
sj8Sg8qnjOg,None,None,None,None,None,None
-eQaF6OmWKw,None,None,None,None,None,None
A-QgGXbDyR0,None,None,None,None,None,None
9hUIxyE2Ns8,None,None,None,None,None,None
R2NzN1ew9j0,None,None,None,None,None,None
T0Z73Zbtlyg,None,None,None,None,None,None
iM_KMYulI_s,None,None,None,None,None,None
RF-Mqs2qC-M,None,None,None,None,None,None
TclUk6-63QQ,None,None,None,None,None,None
PuSkexkHRb0,None,None,None,None,None,None
79_IsTV8X-c,None,None,None,None,None,None
1zdZG6KFM0g,None,None,None,None,None,None
PX5-XyBNi00,None,None,None,None,None,None
FXATwX5bVp8,None,None,None,None,None,None
Xjq_ow5DrWY,None,None,None,None,None,None
dFT2IKmwyfg,None,None,None,None,None,None
kCC8UIPrASA,None,None,None,None,None,None
zttC2x9nMEw,None,None,None,None,None,None
RCXGpEmFbOw,None,None,None,None,None,None
bBrUrgNf5y8,None,None,None,None,None,None
PRSoRkM8GcM,None,None,None,None,None,None
pCON4zfMzjU,None,None,None,None,None,None
IesIsKMjB4Y,None,None,None,None,None,None
iR4CFiuR3tQ,None,None,None,None,None,None
x0MjZOR89Fk,None,None,None,None,None,None
VFWbuKr5-I8,None,None,None,None,None,None
eyqwLiowZiU,None,None,None,None,None,None
r15_6z9xryo,None,None,None,None,None,None
3SAxXUIre28,None,None,None,None,None,None
bf7BXwVeyWw,None,None,None,None,None,None
q7v5NtV8v6I,None,None,None,None,None,None
CeuIop_j2bI,None,None,None,None,None,None
p-MNSLsjjdo,None,None,None,None,None,None
TgA2y-Bgi3c,None,None,None,None,None,None
zNzzGgr2mhk,None,None,None,None,None,None
qaIghx4QRN4,None,None,None,None,None,None
F-nNTGK0wFw,None,None,None,None,None,None
opqIa5Jiwuw,None,None,None,None,None,None
kF4ju6j6aLE,None,None,None,None,None,None
0g9SlVdv1PY,None,None,None,None,None,None
c0bsKc4tiuY,None,None,None,None,None,None
6N3hffFYe_U,None,None,None,None,None,None
8HbvY1ZDhwg,None,None,None,None,None,None
f7MzFfuNOtY,None,None,None,None,None,None
mf5otGNbkuc,None,None,None,None,None,None
FX1HaV_qjOM,None,None,None,None,None,None
5ncOyYzOP3w,None,None,None,None,None,None
IHZwWFHWa-w,None,None,None,None,None,None
LmpAntNjPj0,None,None,None,None,None,None
6H_9l9N3IXU,None,None,None,None,None,None
r2Cd9gChRnc,None,None,None,None,None,None
Ilg3gGewQ5U,None,None,None,None,None,None
NaL_Cb42WyY,None,None,None,None,None,None
Z5bTMIdn8O4,None,None,None,None,None,None
hI9CaQD7P6I,None,None,None,None,None,None
BxpjA9t4dJE,None,None,None,None,None,None
mQ-8gnnieRA,None,None,None,None,None,None
eTOKcxIujgE,None,None,None,None,None,None
dUFxaQc7B8k,None,None,None,None,None,None
STpKoVY2ri8,None,None,None,None,None,None
X32dce7_D48,None,None,None,None,None,None
IOZO13rdhwU,None,None,None,None,None,None
w1f6o1HQBvg,None,None,None,None,None,None
CvKXdhB_y9I,None,None,None,None,None,None
6S66jorlkeY,None,None,None,None,None,None
VcOCCrKlXRM,None,None,None,None,None,None
8N1cKs9JRq0,None,None,None,None,None,None
wutztfYqk0I,None,None,None,None,None,None
5njUvlLWoRI,None,None,None,None,None,None
wEbiwj0CY4U,None,None,None,None,None,None
MFZsxoen5Y0,None,None,None,None,None,None
b617FReb9YI,None,None,None,None,None,None
K-HFRtLaxqY,None,None,None,None,None,None
5q7BSLylhTo,None,None,None,None,None,None
HibcMLxj55g,None,None,None,None,None,None
J2z5uzqxJNU,None,None,None,None,None,None
DWKe6i-ia9c,None,None,None,None,None,None
LGW12hBxUbs,None,None,None,None,None,None
7rULs35adVA,None,None,None,None,None,None
C6dpQWnRII0,None,None,None,None,None,None
74Tw4sm34LQ,None,None,None,None,None,None
pEnXNd2z9bo,None,None,None,None,None,None
bjUoQbSJDJs,None,None,None,None,None,None
xlBhqDOxolk,None,None,None,None,None,None
SnQNrYOvWR4,None,None,None,None,None,None
Zb18eEvBNh0,None,None,None,None,None,None
knMM9dRwIH4,None,None,None,None,None,None
r0_mi8ngNnM,None,None,None,None,None,None
9AVhwGKV2TE,None,None,None,None,None,None
HUbi0z0msrk,None,None,None,None,None,None
kCQ4m-ui6yQ,None,None,None,None,None,None
WQpwcU8FTZk,None,None,None,None,None,None
7QpJ_VDbIPA,None,None,None,None,None,None
nlJ4WIj3j24,None,None,None,None,None,None
_pYfw-_KfIE,None,None,None,None,None,None
joc5J-poAxg,None,None,None,None,None,None
ajTUqSXzZis,None,None,None,None,None,None
IiAVsYnHtwM,None,None,None,None,None,None
iBZaLPEhq04,None,None,None,None,None,None
Hnl4AyEO1I8,None,None,None,None,None,None
IUTGFQpKaPU,None,None,None,None,None,None
8dOM8EHJoCE,None,None,None,None,None,None
bXsv_F0kfrs,None,None,None,None,None,None
PJjXnkd6bUQ,None,None,None,None,None,None
aRdcptG365I,None,None,None,None,None,None
No-T6NIytFE,None,None,None,None,None,None
GWM0elaag2s,None,None,None,None,None,None
BxpFMrEAwqc,None,None,None,None,None,None
4QrGdzYiNFY,None,None,None,None,None,None
mAZ-gT0Ip-0,None,None,None,None,None,None
9_guNEfxTII,None,None,None,None,None,None
5O5EC06b-xg,None,None,None,None,None,None
W2sIvBq2iAk,None,None,None,None,None,None
AqcMAn10448,None,None,None,None,None,None
QlSShPVcxfg,None,None,None,None,None,None
-zCsllWJ3A8,None,None,None,None,None,None
fK8LrzzC4-8,None,None,None,None,None,None
UojBaKX5Vz4,None,None,None,None,None,None
Ev-QpxN8wPo,None,None,None,None,None,None
i5gxEhNDYls,None,None,None,None,None,None
NTe1FQY9gn0,None,None,None,None,None,None
alQ1hlfNI_o,None,None,None,None,None,None
YpcrlbmWgb8,None,None,None,None,None,None
igNgYtGYjys,None,None,None,None,None,None
NAx_gFh9BxY,None,None,None,None,None,None
