videoId,voice_frequencies,non_voice_frequencies
aircAruvnKk,3.347055145732008,1.6008501166019178
_QdPW8JrYzQ,4.313061698120571,2.163776873781355
OWJCfOvochA,1.2371782156936435,0.6052420610474745
ZS_kXvOeQ5Y,1.147389089670813,0.576498477536047
x7qPAY9JqE4, 0.7580630238008232,0.4613856328558713
9AThycGCakk,3.2507329329753527,1.6376419816777825
-ruC5A9EzzE,6.047879255633466,2.986307699026374
Lj1a8rdX6DU,21.279484120072535,10.483773770970604
Zh3Yz3PiXZw,11.778813328371438,6.737574839608511
bNpx7gpSqbY,6.353106249110091,3.3843180647486184
kUr_gdKQ8j4,9.198067089270332,4.55910092220943
h0e2HAPTGF4,0.15037494961280395,0.07357154798191912
0hVuCWfyHP4,9.782681638673964,4.898958236945777
QHydkEARVKE,0.9031750329024254,0.4619542566917844
nKW8Ndu7Mjw,3.2964754074309086,1.7665065579169545
BR9h47Jtqyw,0.33116831408865277,0.16054831037104844
w82a1FT5o88,3.674156616275771,2.8677294285092403
pvf0zSh3rDo,0.8737547277258979,0.42835956061348807
MfF750YVDxM,2.9144108763868974,1.488506344991798
OoEpfb6yga8,2.652999161910945,1.3007078859509629
e8QY0NDWqzk,4.387683451507938,2.2525196302308164
EtJy69cEOtQ,0.7741354299607208,0.31816037966479005
rmf04ylI2K0,1.333567689045111,0.672098875000362
XZmGGAbHqa0,8.458860864491049,4.209258350374537
QxuibIaQmsw,0.42563775578147545,0.22174577046752258
uAWWhEA57bE,2.01819768518841,1.0029237573532113
4DgTLaFNQq0,10.723083345737834,5.396047582473679
YFl2mCHdv24,3.6717672069998137,1.801910595304164
dspdToaROn8,1.656693667949042,0.8304661245578273
FHVuRxJpiwI,1.0065879437568106,0.49394349923695746
bcjSe0xCHbE,2.663259143518072,1.3220766103539212
9s-vSeWej1U,2.7958403507592497,2.2157666609967146
1z0ULvg_pW8,3.4430107940376713,1.7337326758749003
BgQFJ_UNIgw,5.424939431710923,2.815454596443505
2-Ol7ZB0MmU,1.2064383834968664,0.5721397686241834
711VklH-4fA,6.1359756240311905,2.950133723628104
d4EgbgTm0Bg,2.182471347344585,1.0461528884936173
yuD34tEpRFw,2.88931294830192,1.5198812207263583
wCrtk-pyP0I,7.59655980704641,3.752877219756562
AD3K8j12EIE,7.62054528730795,3.666670092498781
kqSzLo9fenk,4.61164088399151,2.476036805177139
aDW44NPhNw0,0.21919744694030222,0.10800435487774518
qWcfiPi9gUU,7.6003420487843805,3.5392806963908554
FTr3n7uBIuE,4.32535470346423,2.0758501843305748
TnUYcTuZJpM,15.728404307127061,8.322048898098288
trWrEWfhTVg,1.9575569891301523,0.9963469601265753
IpGxLWOIZy4,0.8566366050457734,0.4202615100307684
0JDoll8OEFE,2.620103511632935,1.352486891497747
liJbB_0eCTo,5.135299946638667,2.4833915795210735
lfo8XHGFAIQ,6.525614045477047,3.1875661773816395
G7oolm0jU8I,3.8549122204883863,2.0511595210885005
63NTeLmDANo,4.247428055342228,2.151428517061741
kJzSzGbfc0k,4.114644603777295,2.073742065421273
XKu_SEDAykw,0.42734692691426834,0.21120606213719412
5F28PzoeDn4,2.054817703848638,0.9217276679151083
SAsWFgpvYhA,8.145069686920529,4.022311921564541
t6rHHnABoT8,4.761323305920277,2.398913392481464
3FxdPlqTVXw,10.971896256569973,5.7314967271763315
c8_BIamLESg,5.15413226201346,4.459068457822572
rojft7g2BSI,1.6304835457773061,0.8265885772857058
E39GIysMevQ,3.57274702062832,1.8415281999179265
-Yh2QGJBd2U,7.940614131531487,4.014523048641235
TRzBk_KuIaM,0.23028190582195454,0.11445925562694922
ssdyoPpDEys,7.689314226380638,3.8729870299344915
I1hFKCFT8bQ,5.782674295423526,2.8716527963095255
ZPw9dSV6y2c,7.380671384270581,3.7329243915499375
78-1MlkxyqI,2.566502627392443,1.2687157318384783
_4ruHJFsb4g,4.067991250696428,2.0421843872287466
R0bVxbRCd-U,0.9104861135709548,0.4371511966950601
j6B-HYsvkvo,26.584075185861757,13.662183716673962
MTY1Kje0yLg,0.5364173362473365,0.2728971889454598
mV_Z3Zx0xIs,5.521791199230905,2.791219862989561
P4Rzd21U-1c,6.744864659241527,3.336641237750724
bjMqJ--aUJ8,24.477408564032068,12.41637150493634
ZZZ7k8cMA-4,4.648859560690938,2.5328299301446373
NtxZeDYuEZI,4.077579017398115,2.0390670011345984
Yl_FJAOcFgQ,1.6883651043857526,0.8412248691290559
ghMZe9NRAgY,17.981900130057348,8.926585040005627
R1vskiVDwl4,3.09348750821195,1.5913666251375957
M624T3PTggU,25.475005570400356,13.151808321119116
AL1-Xd2HTWU,1.960961124813819,1.0372574603265607
kLBDuWvcy7U,1.5975782005824628,0.8421408971894806
esmzYhuFnds,0.10180528792337673,0.048743922427340075
zn1SJOPgewo,0.966295713168074,0.48272355016673746
Y30VF3cSIYQ,1.2179617147431017,0.6558100917785507
D1R-jKKp3NA,1.327381427015113,0.6662084692838909
mbDipVRt5aE,0.7758328370343491,0.3922751997960253
TUSxq7KoTsM,0.6673501791016765,0.3363788836207432
